TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Sion,Galio,Khazix,Cassiopeia,Nautilus,Win,59098,49333,1,26,3,1,2,8,200
Aatrox,Annie,Nidalee,Jinx,Thresh,Lose,43108,47333,0,5,0,0,0,0,100
Riven,Vladimir,Zac,Aphelios,Thresh,Win,45058,43917,0,22,1,0,2,6,200
Rumble,Katarina,LeeSin,Xayah,Nautilus,Lose,38342,43892,0,12,2,0,0,1,100
Olaf,Katarina,LeeSin,Kaisa,Pyke,Win,55502,5775,1,34,3,2,2,10,100
Nasus,Akshan,Amumu,Draven,Thresh,Lose,42376,47126,0,13,0,0,0,2,200
Malphite,Sylas,LeeSin,Zeri,FiddleSticks,Win,87614,12530,0,38,3,1,0,8,100
Singed,Ahri,Taliyah,Jinx,Alistar,Lose,81223,90273,2,32,1,0,1,4,200
Illaoi,Chogath,Talon,Zeri,Annie,Win,50076,45282,0,29,3,1,2,7,200
Shen,Azir,Maokai,Ezreal,Leona,Lose,39282,44132,0,13,0,0,0,0,100
Aatrox,Ahri,Graves,Jinx,Milio,Win,39010,36007,0,26,0,0,1,4,200
Gangplank,Irelia,Karthus,Aphelios,Seraphine,Lose,30957,36667,0,14,2,0,0,1,100
Aatrox,Ahri,Graves,Jinx,Akali,Win,123233,13200,0,60,0,1,0,4,100
Gangplank,Irelia,Karthus,Aphelios,Morgana,Lose,108385,121385,0,56,0,0,0,1,200
Kennen,Gragas,Camille,Aphelios,Blitzcrank,Win,64427,8000,1,42,1,3,2,11,100
Jax,AurelionSol,Khazix,KogMaw,Pyke,Lose,58456,66431,0,25,1,0,0,2,200
Ryze,Yone,Maokai,Ashe,Amumu,Win,69485,64039,1,40,2,1,0,10,200
Garen,Yasuo,Lillia,Ezreal,Yuumi,Lose,51839,61989,0,24,0,0,1,3,100
Sett,Zoe,Maokai,Jhin,Rakan,Win,60040,7400,1,42,3,1,2,7,100
Sion,Leblanc,Talon,Jinx,Lulu,Lose,44725,51600,0,17,1,0,0,2,200
Gwen,Swain,Viego,Aphelios,Rakan,Win,34184,32458,0,22,0,0,1,3,200
Jayce,Viktor,LeeSin,Xayah,Nautilus,Lose,27358,30758,0,8,1,0,0,0,100
Nasus,Jax,Graves,Aphelios,Rakan,Win,33952,5325,0,26,1,0,0,4,100
Garen,Irelia,Ivern,Ezreal,Pyke,Lose,27164,31389,0,12,0,0,1,0,200
Nasus,Jax,Graves,Aphelios,Zeri,Win,124429,16800,0,66,0,2,0,4,100
Garen,Irelia,Ivern,Ezreal,Leblanc,Lose,120473,134773,0,60,0,0,0,2,200
Rumble,Ahri,Khazix,Zeri,Nautilus,Win,63513,52278,1,38,3,1,2,7,200
Singed,TwistedFate,LeeSin,KogMaw,Milio,Lose,46203,52098,0,19,1,0,0,2,100
Rumble,Ahri,Khazix,Zeri,Janna,Win,100482,10450,0,57,0,1,0,4,100
Singed,TwistedFate,LeeSin,KogMaw,Seraphine,Lose,86960,97760,0,38,0,0,0,1,200
Fiora,Vex,Zac,Ezreal,Nautilus,Win,59242,61389,0,31,3,1,0,6,200
Kennen,Qiyana,Rammus,Aphelios,Milio,Lose,55689,61324,1,23,0,0,2,4,100
Jax,Leblanc,JarvanIV,Aphelios,Thresh,Win,40805,38885,0,26,1,0,1,4,200
Poppy,KSante,Maokai,Lucian,Milio,Lose,34260,38385,0,11,1,0,1,1,100
Illaoi,Viktor,Kayn,Ezreal,Seraphine,Win,58859,57845,1,18,2,0,1,6,200
Sion,Qiyana,Nidalee,Syndra,Thresh,Lose,51595,56845,0,18,0,0,1,2,100
Gangplank,Ahri,Kindred,Draven,Janna,Win,54057,5525,1,22,1,0,2,4,100
KSante,Syndra,RekSai,Jhin,Ashe,Lose,41562,47172,0,12,2,0,0,0,200
Jayce,Leblanc,LeeSin,Aphelios,Azir,Win,81472,10775,0,46,3,3,1,11,100
Gwen,Gragas,Hecarim,Xayah,Lux,Lose,80809,92859,2,45,1,0,1,3,200
Jayce,Leblanc,LeeSin,Aphelios,Ashe,Win,130049,132619,0,72,0,1,0,4,200
Gwen,Gragas,Hecarim,Xayah,Brand,Lose,118719,132869,0,70,0,0,0,1,100
Garen,Annie,LeeSin,Aphelios,Leona,Win,63235,6550,1,26,1,1,0,8,100
Pantheon,Swain,Kindred,Xayah,Rakan,Lose,62031,71231,0,30,2,1,2,6,200
Akshan,Malphite,Kayn,Aphelios,Pantheon,Win,34440,4650,0,16,1,0,1,1,100
Illaoi,Zed,Gragas,Lucian,Nami,Lose,32738,35913,0,11,0,0,0,0,200
Fiora,Ryze,Kayn,Ezreal,Pyke,Win,55236,6550,0,31,2,1,2,6,100
Swain,Azir,JarvanIV,Senna,Nautilus,Lose,50409,55934,0,20,0,0,0,1,200
Fiora,Ryze,Kayn,Ezreal,Ezreal,Win,120603,132849,0,66,0,3,0,4,200
Swain,Azir,JarvanIV,Senna,Jinx,Lose,115299,129449,0,62,0,0,0,1,100
Fiora,Ryze,Kayn,Ezreal,Zed,Win,154430,160341,0,81,0,2,0,4,200
Swain,Azir,JarvanIV,Senna,Rengar,Lose,143091,160091,0,71,0,2,0,2,100
Fiora,Ryze,Kayn,Ezreal,Jhin,Win,104867,13750,0,61,0,1,0,4,100
Swain,Azir,JarvanIV,Senna,Viktor,Lose,92700,105350,0,45,0,1,0,2,200
Jayce,Irelia,Maokai,Aphelios,Seraphine,Win,67210,6200,1,35,2,1,2,10,100
Warwick,Syndra,Shaco,Draven,Soraka,Lose,53011,59186,0,18,1,0,0,1,200
Irelia,Annie,Rammus,Aphelios,Rakan,Win,80543,8965,2,37,2,1,1,8,100
Gwen,Sett,LeeSin,Kalista,Veigar,Lose,66444,75219,0,27,2,0,0,4,200
KSante,Viktor,Ekko,Kaisa,Lux,Win,50801,51343,1,27,2,0,1,3,200
Fiora,Kled,Karthus,Aphelios,Thresh,Lose,44093,50493,0,21,0,0,1,3,100
Jayce,Yone,Kindred,Aphelios,Janna,Win,54695,53025,1,31,1,1,1,6,200
Ryze,Akshan,Belveth,Ezreal,Thresh,Lose,46150,51375,0,19,2,0,1,4,100
Gangplank,Ahri,Trundle,Varus,Rakan,Win,31914,4375,0,18,1,0,1,3,100
Vladimir,Irelia,Karthus,Twitch,Thresh,Lose,27551,30326,0,3,0,0,1,1,200
